,usuarioID,productID,Rating,timestamp
0,1759,0,5.0,1341100800.0
1,2154,1,1.0,1367193600.0
2,2477,1,3.0,1374451200.0
3,603,1,1.0,1334707200.0
4,960,2,5.0,1397433600.0
5,3311,2,2.0,1397433600.0
6,2381,2,5.0,1395878400.0
7,2760,2,5.0,1395532800.0
8,3933,2,5.0,1395446400.0
9,4926,2,5.0,1401321600.0
10,498,3,5.0,1405641600.0
11,1647,3,1.0,1352073600.0
12,4481,3,5.0,1370131200.0
13,4413,3,1.0,1290643200.0
14,1600,3,4.0,1280016000.0
15,3445,3,3.0,1283990400.0
16,622,3,2.0,1290556800.0
17,1750,3,2.0,1277078400.0
18,1532,3,4.0,1294790400.0
19,2892,3,5.0,1293235200.0
20,1692,3,4.0,1289001600.0
21,1672,3,5.0,1284249600.0
22,4412,3,1.0,1307836800.0
23,2166,3,4.0,1278547200.0
24,3293,3,1.0,1327363200.0
25,4884,3,4.0,1398470400.0
26,1478,3,2.0,1293580800.0
27,851,3,1.0,1286582400.0
28,518,3,5.0,1390867200.0
29,1679,3,5.0,1294790400.0
30,2523,3,1.0,1299974400.0
31,4603,3,1.0,1296691200.0
32,379,3,2.0,1340496000.0
33,3055,3,5.0,1285113600.0
34,1464,3,1.0,1317254400.0
35,3648,3,1.0,1358035200.0
36,117,3,2.0,1298851200.0
37,859,4,3.0,1372550400.0
38,2479,5,5.0,1379376000.0
39,1383,5,5.0,1348790400.0
40,4919,5,5.0,1395705600.0
41,1821,6,1.0,1405296000.0
42,4042,6,5.0,1404172800.0
43,2572,6,1.0,1384300800.0
44,2933,6,1.0,1377129600.0
45,649,6,1.0,1374537600.0
46,3971,6,1.0,1373932800.0
47,3243,6,5.0,1374278400.0
48,2920,6,1.0,1374105600.0
49,2775,7,1.0,1323216000.0
50,3334,8,3.0,1404432000.0
51,3017,9,5.0,1405382400.0
52,4354,9,4.0,1388620800.0
53,2524,9,4.0,1300233600.0
54,3289,9,5.0,1399420800.0
55,4493,9,4.0,1394496000.0
56,1479,10,5.0,1392422400.0
57,2312,10,1.0,1397865600.0
58,1491,10,4.0,1387584000.0
59,4243,10,5.0,1389225600.0
60,576,10,4.0,1398297600.0
61,2369,10,5.0,1388102400.0
62,3157,10,5.0,1392249600.0
63,3256,10,5.0,1400976000.0
64,2118,10,5.0,1390003200.0
65,3246,10,4.0,1396483200.0
66,4871,10,5.0,1393200000.0
67,2219,10,5.0,1392422400.0
68,3271,10,5.0,1395964800.0
69,1646,10,5.0,1402876800.0
70,1749,10,5.0,1403568000.0
71,1122,11,5.0,1359244800.0
72,3645,11,5.0,1401235200.0
73,858,12,4.0,1360108800.0
74,2779,13,5.0,1380672000.0
75,1701,14,3.0,1398556800.0
76,1006,14,5.0,1365379200.0
77,3777,14,5.0,1359331200.0
78,643,14,5.0,1392854400.0
79,1793,14,5.0,1388016000.0
80,4209,14,5.0,1380672000.0
81,4794,15,5.0,1382313600.0
82,1448,15,5.0,1389139200.0
83,3138,16,5.0,1403827200.0
84,2024,17,5.0,1388707200.0
85,1020,17,5.0,1404691200.0
86,2203,17,2.0,1398556800.0
87,1526,17,5.0,1400025600.0
88,4016,17,5.0,1399161600.0
